,season,team,player,nation,pos,age,mp,starts,minutes,ninetys,gls,ast,npg,xg,npxg,xa,np_xgoal_contrib,sh,sot,dist,fk,pkscored,pkatt,tkl,tklw,tklvsdrb,attvsdrb,press,succ,blocks,inter,err,sota,saves,psxg,psxg_pm,pass_cmp,pass_att,pass_totdist,pass_prgdist,sca,sca_passlive,sca_passdead,sca_drib,sca_sh,sca_fld,sca_def,gca,gca_passlive,gca_passdead,gca_drib,gca_sh,gca_fld,gca_def,touches,touches_defthird,touches_attthird,touches_attpen,carries,carries_totdist,carries_prgdist,progcarries,progpassrec,crdy,crdr,twocrdy,fls,fld,off,recov,arlwon,arllost,player_team
0,2022_2023,Arsenal,Aaron Ramsdale,eng ENG,GK,24,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0,0,1,1,12,9,2.2,-0.8,93,138,2906,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,145,0,0,81,397,210,0,0,0,0,0,0,2,0,21,0,0,Aaron_Ramsdale_['A_r_s_e_n_a_l']
1,2022_2023,Manchester City,Ederson,br BRA,GK,29,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,2,1,0,0,0,11,6,4.4,-0.6,164,182,4268,2299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,189,188,0,0,121,467,227,0,0,0,0,0,0,2,0,30,0,0,"Ederson_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
2,2022_2023,Tottenham Hotspur,Hugo Lloris,fr FRA,GK,35,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,16,11,3.6,-1.4,153,188,3656,1905,1,1,0,0,0,0,0,0,0,0,0,0,0,0,200,199,0,0,91,383,211,0,0,0,0,0,0,1,0,27,0,0,"Hugo_Lloris_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
3,2022_2023,Brighton and Hove Albion,Robert Sánchez,es ESP,GK,24,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,13,12,3.7,2.7,103,169,3614,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,0,84,415,276,0,0,0,0,0,0,0,0,17,0,0,"Robert_Sánchez_['B_r_i_g_h_t_o_n_', '_a_n_d_', '_H_o_v_e_', '_A_l_b_i_o_n']"
4,2022_2023,Chelsea,Edouard Mendy,sn SEN,GK,30,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,27,18,7.1,-1.9,125,157,3263,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,172,0,0,86,279,134,0,0,1,0,0,0,2,0,28,0,0,Edouard_Mendy_['C_h_e_l_s_e_a']
5,2022_2023,Liverpool,Alisson,br BRA,GK,29,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,1,1,0,0,18,13,6.1,0.1,177,205,4536,2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,218,0,0,125,567,337,0,0,0,0,0,0,0,0,32,0,0,Alisson_['L_i_v_e_r_p_o_o_l']
6,2022_2023,Brentford,David Raya,es ESP,GK,26,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,35,26,8.0,-1.0,158,247,5400,3502,2,1,1,0,0,0,0,0,0,0,0,0,0,0,260,248,0,0,131,800,453,0,0,0,0,0,0,1,0,20,0,0,David_Raya_['B_r_e_n_t_f_o_r_d']
7,2022_2023,Manchester United,David de Gea,es ESP,GK,31,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,22,15,7.0,0.0,87,148,2764,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,158,0,0,67,288,166,0,0,0,0,0,0,0,0,18,0,0,"David_de_Gea_['M_a_n_c_h_e_s_t_e_r_', '_U_n_i_t_e_d']"
8,2022_2023,Leeds United,Illan Meslier,fr FRA,GK,22,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,26,17,8.6,-1.4,113,178,2641,1235,1,0,1,0,0,0,0,0,0,0,0,0,0,0,200,200,0,0,78,323,153,0,0,0,0,0,0,2,0,25,0,0,"Illan_Meslier_['L_e_e_d_s_', '_U_n_i_t_e_d']"
9,2022_2023,Fulham,Bernd Leno,de GER,GK,30,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,1,3,2,0,0,0,25,19,9.5,2.5,84,117,2660,1650,2,2,0,0,0,0,0,0,0,0,0,0,0,0,129,128,0,0,43,159,73,0,0,0,0,0,0,0,0,13,0,0,Bernd_Leno_['F_u_l_h_a_m']
10,2022_2023,Fulham,Marek Rodák,sk SVK,GK,25,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1.3,-0.7,30,60,1348,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,0,0,31,180,72,0,0,0,0,0,0,0,0,14,0,0,Marek_Rodák_['F_u_l_h_a_m']
11,2022_2023,Newcastle United,Nick Pope,eng ENG,GK,30,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,1,2,0,0,0,0,35,28,8.8,2.8,93,155,3397,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,180,0,0,73,462,254,0,0,0,0,0,0,0,0,29,0,0,"Nick_Pope_['N_e_w_c_a_s_t_l_e_', '_U_n_i_t_e_d']"
