,season,team,player,nation,pos,age,mp,starts,minutes,ninetys,gls,ast,npg,xg,npxg,xa,np_xgoal_contrib,sh,sot,dist,fk,pkscored,pkatt,tkl,tklw,tklvsdrb,attvsdrb,press,succ,blocks,inter,err,pass_cmp,pass_att,pass_totdist,pass_prgdist,sca,sca_passlive,sca_passdead,sca_drib,sca_sh,sca_fld,sca_def,gca,gca_passlive,gca_passdead,gca_drib,gca_sh,gca_fld,gca_def,touches,touches_defthird,touches_attthird,touches_attpen,carries,carries_totdist,carries_prgdist,progcarries,progpassrec,crdy,crdr,twocrdy,fls,fld,off,recov,arlwon,arllost,player_team
0,2022_2023,Arsenal,Gabriel Dos Santos,br BRA,DF,24,5,5,450.0,5.0,1.0,0.0,1.0,1.3,1.3,0.0,1.3,7,2,11.1,0,0,0,8,6,3,5,25,13,9,5,1,290,311,6251,1924,3,2,0,0,1,0,0,0,0,0,0,0,0,0,370,175,29,8,240,1482,940,26,3,0,0,0,1,6,0,51,18,7,Gabriel_Dos_Santos_['A_r_s_e_n_a_l']
1,2022_2023,Arsenal,William Saliba,fr FRA,DF,21,5,5,450.0,5.0,1.0,1.0,1.0,0.1,0.1,0.9,0.9,1,1,18.0,0,0,0,5,4,1,2,24,12,7,14,0,301,325,6409,1922,5,5,0,0,0,0,0,2,2,0,0,0,0,0,363,194,7,2,250,1395,713,13,0,1,0,0,5,2,0,61,7,7,William_Saliba_['A_r_s_e_n_a_l']
2,2022_2023,Arsenal,Granit Xhaka,ch SUI,MF,29,5,5,447.0,5.0,1.0,2.0,1.0,0.7,0.7,0.4,1.1,4,1,17.0,0,0,0,2,2,1,6,29,10,7,3,0,230,276,4180,1063,19,17,1,0,1,0,0,2,2,0,0,0,0,0,317,51,110,18,201,686,311,14,27,1,0,0,3,8,1,42,6,3,Granit_Xhaka_['A_r_s_e_n_a_l']
3,2022_2023,Arsenal,Bukayo Saka,eng ENG,FW,20,5,5,437.0,4.9,0.0,2.0,0.0,1.0,1.0,0.8,1.8,10,2,14.4,0,0,0,6,6,0,3,57,18,6,5,0,156,196,2352,655,17,10,3,1,2,1,0,5,4,1,0,0,0,0,256,29,157,35,183,1083,650,40,35,0,0,0,6,11,2,31,6,5,Bukayo_Saka_['A_r_s_e_n_a_l']
4,2022_2023,Arsenal,Martinelli,br BRA,FW,21,5,5,433.0,4.8,3.0,0.0,3.0,1.7,1.7,1.7,3.4,19,7,17.3,1,0,0,8,5,1,3,67,20,7,3,0,125,163,2242,722,21,14,4,1,1,0,1,3,1,1,0,1,0,0,232,10,155,34,175,1070,529,34,43,0,0,0,7,12,1,19,6,2,Martinelli_['A_r_s_e_n_a_l']
5,2022_2023,Arsenal,Gabriel Jesus,br BRA,FW,25,5,5,430.0,4.8,3.0,3.0,3.0,3.3,3.3,1.1,4.4,18,7,9.3,0,0,0,3,3,1,5,73,19,6,8,0,105,138,1557,400,20,11,0,3,2,3,1,2,2,0,0,0,0,0,228,13,138,53,154,561,293,13,47,2,0,0,10,12,4,24,10,24,Gabriel_Jesus_['A_r_s_e_n_a_l']
6,2022_2023,Arsenal,Martin Ødegaard,no NOR,MF,23,5,5,421.0,4.7,3.0,0.0,3.0,1.5,1.5,0.4,1.8,12,5,17.9,2,0,0,8,7,0,6,75,33,4,5,0,219,266,3572,1129,20,13,3,2,2,0,0,1,1,0,0,0,0,0,316,38,143,17,215,888,473,26,28,1,0,0,5,2,0,49,6,6,Martin_Ødegaard_['A_r_s_e_n_a_l']
7,2022_2023,Arsenal,Ben White,eng ENG,DF,24,5,5,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,,0,0,0,11,8,9,11,46,20,14,12,0,241,288,4522,1585,5,5,0,0,0,0,0,1,1,0,0,0,0,0,336,88,76,4,210,904,505,19,2,2,0,0,4,7,0,32,8,4,Ben_White_['A_r_s_e_n_a_l']
8,2022_2023,Arsenal,Thomas Partey,gh GHA,MF,29,3,3,270.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4,0,16.5,0,0,0,12,8,1,5,51,22,6,3,0,137,166,2510,637,6,4,0,1,1,0,0,0,0,0,0,0,0,0,202,53,32,4,118,427,216,8,2,0,0,0,7,2,0,34,7,6,Thomas_Partey_['A_r_s_e_n_a_l']
9,2022_2023,Arsenal,Oleksandr Zinchenko,ua UKR,DF,25,3,3,248.0,2.8,0.0,1.0,0.0,0.1,0.1,0.3,0.4,3,1,20.1,0,0,0,5,2,2,6,26,6,2,8,0,164,186,2791,796,5,5,0,0,0,0,0,1,1,0,0,0,0,0,206,42,65,5,139,850,477,19,5,0,0,0,0,1,0,30,3,3,Oleksandr_Zinchenko_['A_r_s_e_n_a_l']
10,2022_2023,Arsenal,Kieran Tierney,sct SCO,DF,25,5,2,175.0,1.9,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3,1,22.4,0,0,0,1,1,0,2,16,6,5,7,0,76,109,1578,544,3,3,0,0,0,0,0,0,0,0,0,0,0,0,133,33,38,2,79,371,221,8,1,0,0,0,0,0,0,19,4,7,Kieran_Tierney_['A_r_s_e_n_a_l']
11,2022_2023,Arsenal,Albert Sambi Lokonga,be BEL,MF,22,3,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,1,0,0,0,6,1,0,0,0,53,59,1069,227,2,1,0,0,0,1,0,0,0,0,0,0,0,0,66,11,11,0,50,229,105,6,0,0,0,0,0,4,0,13,3,1,Albert_Sambi_Lokonga_['A_r_s_e_n_a_l']
12,2022_2023,Arsenal,Mohamed Elneny,eg EGY,MF,30,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,1,1,1,1,5,3,0,0,0,50,51,972,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,9,12,0,40,171,40,2,0,0,0,0,1,0,0,7,0,0,Mohamed_Elneny_['A_r_s_e_n_a_l']
13,2022_2023,Manchester City,Kyle Walker,eng ENG,DF,32,6,6,520.0,5.8,0.0,0.0,0.0,0.1,0.1,0.1,0.3,1,0,10.0,0,0,0,4,4,2,7,34,15,4,4,0,527,583,10315,2864,7,7,0,0,0,0,0,0,0,0,0,0,0,0,604,110,86,2,460,1847,800,31,7,0,0,0,1,4,0,55,9,3,"Kyle_Walker_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
14,2022_2023,Manchester City,Rodri,es ESP,MF,26,6,6,502.0,5.6,0.0,2.0,0.0,0.4,0.4,0.3,0.7,10,1,18.8,0,0,0,7,6,2,5,62,22,10,6,0,527,573,10958,2062,14,12,0,0,2,0,0,5,5,0,0,0,0,0,622,113,137,14,470,2089,1142,42,9,0,0,0,10,3,1,77,24,13,"Rodri_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
15,2022_2023,Manchester City,João Cancelo,pt POR,DF,28,6,6,487.0,5.4,1.0,0.0,1.0,0.2,0.2,0.3,0.5,6,1,22.1,0,0,0,11,8,3,5,35,13,5,9,0,468,537,8406,2336,14,10,0,1,1,1,1,0,0,0,0,0,0,0,584,93,184,18,435,2049,1136,53,21,2,0,0,5,6,2,62,18,9,"João_Cancelo_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
16,2022_2023,Manchester City,Erling Haaland,no NOR,FW,22,6,6,481.0,5.3,10.0,1.0,9.0,7.3,6.5,0.5,7.1,25,14,9.8,0,1,1,1,1,0,0,46,16,3,0,0,66,80,942,140,9,5,0,1,0,3,0,2,1,0,0,0,1,0,128,4,72,43,70,224,102,8,40,0,0,0,6,6,2,11,4,9,"Erling_Haaland_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
17,2022_2023,Manchester City,Phil Foden,eng ENG,"FW,MF",22,6,6,456.0,5.1,1.0,3.0,1.0,1.0,1.0,1.1,2.1,7,4,11.8,0,0,0,4,4,1,3,72,27,6,4,0,252,295,4209,904,22,17,3,0,1,1,0,5,5,0,0,0,0,0,351,20,209,28,289,1076,513,35,46,1,0,0,2,7,0,26,3,9,"Phil_Foden_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
18,2022_2023,Manchester City,Rúben Dias,pt POR,DF,25,6,5,493.0,5.5,0.0,0.0,0.0,0.3,0.3,0.1,0.4,4,1,9.0,0,0,0,7,4,0,1,37,17,5,4,0,499,531,10018,3138,4,3,0,0,1,0,0,0,0,0,0,0,0,0,573,165,36,10,434,2313,1287,50,0,0,0,0,6,2,0,52,21,10,"Rúben_Dias_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
19,2022_2023,Manchester City,Kevin De Bruyne,be BEL,MF,31,6,5,467.0,5.2,1.0,4.0,1.0,1.3,1.3,2.4,3.7,17,5,20.4,2,0,0,5,4,2,2,43,17,5,0,0,244,333,5103,1405,31,20,7,1,2,0,1,7,7,0,0,0,0,0,378,29,227,18,283,1359,868,41,38,0,0,0,5,6,0,22,3,5,"Kevin_De_Bruyne_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
20,2022_2023,Manchester City,İlkay Gündoğan,de GER,MF,31,6,5,441.0,4.9,2.0,1.0,2.0,1.2,1.2,1.7,2.9,10,3,16.5,1,0,0,4,3,2,4,36,10,7,5,0,296,330,5460,1051,26,22,4,0,0,0,0,6,5,1,0,0,0,0,377,38,141,27,262,1243,594,25,36,0,0,0,6,3,3,26,5,7,"İlkay_Gündoğan_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
21,2022_2023,Manchester City,Bernardo Silva,pt POR,"MF,FW",28,6,4,381.0,4.2,2.0,2.0,2.0,0.8,0.8,0.8,1.6,6,3,15.0,0,0,0,9,3,5,7,41,13,2,5,0,205,231,3737,484,16,12,0,3,0,1,0,3,3,0,0,0,0,0,283,20,174,30,214,1568,1047,63,29,0,0,0,4,6,0,22,0,1,"Bernardo_Silva_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
22,2022_2023,Manchester City,John Stones,eng ENG,DF,28,5,4,371.0,4.1,0.0,2.0,0.0,0.1,0.1,0.7,0.8,1,0,9.0,0,0,0,4,3,1,1,22,9,2,4,0,334,346,6776,1490,2,1,0,0,1,0,0,2,1,0,0,1,0,0,364,155,14,3,287,1912,1008,30,1,1,0,0,2,4,1,31,5,0,"John_Stones_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
23,2022_2023,Manchester City,Nathan Aké,nl NED,DF,27,4,3,211.0,2.3,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3,0,10.6,0,0,0,2,2,1,1,12,5,4,2,0,217,228,3965,1442,2,1,0,0,1,0,0,0,0,0,0,0,0,0,246,106,10,4,192,990,463,10,0,0,0,0,0,0,0,21,5,2,"Nathan_Aké_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
24,2022_2023,Manchester City,Riyad Mahrez,dz ALG,FW,31,5,2,207.0,2.3,0.0,0.0,0.0,0.5,0.5,0.3,0.9,5,1,20.0,0,0,0,2,1,1,2,22,5,1,1,0,151,171,2955,552,11,7,2,1,1,0,0,2,1,0,0,1,0,0,186,7,125,10,162,740,358,24,20,0,0,0,0,2,1,13,0,2,"Riyad_Mahrez_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
25,2022_2023,Manchester City,Julián Álvarez,ar ARG,FW,22,4,1,150.0,1.7,2.0,0.0,2.0,0.7,0.7,0.4,1.1,6,3,14.2,0,0,0,1,1,0,2,33,7,1,0,0,53,58,839,89,8,4,0,2,2,0,0,0,0,0,0,0,0,0,73,2,48,10,60,268,84,7,19,0,0,0,3,3,0,8,2,4,"Julián_Álvarez_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
26,2022_2023,Manchester City,Jack Grealish,eng ENG,FW,26,2,1,135.0,1.5,0.0,0.0,0.0,0.1,0.1,0.5,0.5,1,0,18.4,0,0,0,0,0,0,0,7,1,1,0,0,85,96,1287,272,5,5,0,0,0,0,0,0,0,0,0,0,0,0,106,7,64,9,97,662,333,20,10,0,0,0,1,6,1,8,0,4,"Jack_Grealish_['M_a_n_c_h_e_s_t_e_r_', '_C_i_t_y']"
27,2022_2023,Tottenham Hotspur,Eric Dier,eng ENG,DF,28,6,6,540.0,6.0,1.0,0.0,1.0,0.3,0.3,0.1,0.4,4,1,14.7,1,0,0,5,3,2,5,36,10,6,9,0,364,400,7898,2603,4,3,0,0,1,0,0,0,0,0,0,0,0,0,453,274,8,4,293,1605,893,15,0,0,0,0,3,1,0,51,21,7,"Eric_Dier_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
28,2022_2023,Tottenham Hotspur,Pierre Højbjerg,dk DEN,MF,27,6,6,540.0,6.0,2.0,0.0,2.0,0.3,0.3,0.8,1.1,5,4,19.9,0,0,0,9,6,5,12,78,19,13,9,0,354,396,7383,1940,17,15,1,1,0,0,0,3,3,0,0,0,0,0,453,141,71,4,335,1423,689,25,9,1,0,0,11,7,0,47,3,2,"Pierre_Højbjerg_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
29,2022_2023,Tottenham Hotspur,Emerson,br BRA,DF,23,6,6,527.0,5.9,0.0,1.0,0.0,0.3,0.3,0.2,0.5,6,1,14.2,0,0,0,14,8,7,11,92,25,17,8,0,227,284,4127,1287,8,8,0,0,0,0,0,2,2,0,0,0,0,0,371,146,114,18,227,1139,688,26,15,0,0,0,7,9,0,40,11,7,"Emerson_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
30,2022_2023,Tottenham Hotspur,Harry Kane,eng ENG,FW,29,6,6,527.0,5.9,5.0,0.0,5.0,4.4,3.6,1.2,4.7,22,10,18.4,0,0,1,5,5,0,4,54,17,5,0,0,116,152,2465,864,23,17,0,2,1,2,1,0,0,0,0,0,0,0,231,19,93,28,152,786,419,27,37,2,0,0,7,9,2,23,13,28,"Harry_Kane_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
31,2022_2023,Tottenham Hotspur,Son Heung-min,kr KOR,"MF,FW",30,6,6,489.0,5.4,0.0,1.0,0.0,1.9,1.9,1.1,3.0,17,8,13.9,0,0,0,5,4,3,5,61,10,6,4,0,117,160,1764,549,20,15,5,0,0,0,0,3,2,1,0,0,0,0,233,22,126,29,143,908,560,18,43,0,0,0,5,8,2,27,3,5,"Son_Heung-min_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
32,2022_2023,Tottenham Hotspur,Ben Davies,wls WAL,DF,29,5,5,445.0,4.9,0.0,1.0,0.0,0.1,0.1,0.1,0.3,3,2,17.8,0,0,0,8,5,4,8,42,12,7,8,0,215,248,4233,1611,6,5,0,0,1,0,0,2,1,0,0,1,0,0,307,135,34,3,196,921,594,20,5,1,0,0,5,0,0,33,14,11,"Ben_Davies_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
33,2022_2023,Tottenham Hotspur,Rodrigo Bentancur,uy URU,MF,25,5,5,432.0,4.8,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1,0,23.0,0,0,0,13,7,5,12,103,23,8,12,0,233,263,4166,1118,9,9,0,0,0,0,0,0,0,0,0,0,0,0,313,110,40,1,206,660,248,9,6,2,0,0,9,2,0,37,6,2,"Rodrigo_Bentancur_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
34,2022_2023,Tottenham Hotspur,Dejan Kulusevski,se SWE,"MF,FW",22,6,5,430.0,4.8,1.0,2.0,1.0,0.6,0.6,1.0,1.6,8,1,16.8,0,0,0,3,0,0,4,95,21,3,4,0,123,146,1885,511,18,16,0,1,0,0,1,2,2,0,0,0,0,0,209,36,110,27,168,1462,986,41,31,0,0,0,9,5,1,35,1,8,"Dejan_Kulusevski_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
35,2022_2023,Tottenham Hotspur,Ivan Perišić,hr CRO,DF,33,6,3,282.0,3.1,0.0,2.0,0.0,0.1,0.1,1.4,1.5,1,0,15.0,0,0,0,8,4,5,10,42,12,4,4,0,99,140,2050,772,10,6,4,0,0,0,0,2,1,1,0,0,0,0,173,40,69,14,95,516,356,16,11,1,0,0,4,0,2,24,7,3,"Ivan_Perišić_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
36,2022_2023,Tottenham Hotspur,Cristian Romero,ar ARG,DF,24,3,3,270.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3,1,7.6,0,0,0,7,1,3,5,40,7,3,12,1,144,160,3051,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,107,18,5,129,541,264,10,1,1,0,0,2,2,0,22,15,6,"Cristian_Romero_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
37,2022_2023,Tottenham Hotspur,Davinson Sánchez,co COL,DF,26,3,3,270.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2,0,5.4,0,0,0,7,3,4,5,28,8,5,6,0,165,187,3380,870,1,1,0,0,0,0,0,0,0,0,0,0,0,0,229,148,5,3,144,510,170,3,0,1,0,0,2,3,0,19,6,2,"Davinson_Sánchez_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
38,2022_2023,Tottenham Hotspur,Ryan Sessegnon,eng ENG,DF,22,5,3,243.0,2.7,1.0,0.0,1.0,0.7,0.7,0.0,0.7,10,5,14.9,0,0,0,7,5,2,5,40,9,5,8,0,93,124,1528,381,3,0,0,0,2,0,1,1,0,0,0,1,0,0,170,50,69,13,89,415,206,11,13,1,0,0,5,1,3,17,6,3,"Ryan_Sessegnon_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
39,2022_2023,Tottenham Hotspur,Richarlison,br BRA,"FW,MF",25,5,1,171.0,1.9,0.0,2.0,0.0,0.6,0.6,1.0,1.7,6,2,12.2,0,0,0,4,2,1,5,36,8,5,3,0,53,63,847,209,11,7,0,2,1,1,0,2,2,0,0,0,0,0,102,22,52,17,74,403,233,10,21,2,0,0,2,3,1,10,5,8,"Richarlison_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
40,2022_2023,Tottenham Hotspur,Yves Bissouma,ml MLI,MF,26,5,1,120.0,1.3,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2,0,23.6,0,0,0,2,1,0,3,25,6,4,2,0,100,109,1730,328,5,3,0,0,1,0,1,0,0,0,0,0,0,0,124,35,14,1,77,369,170,8,0,2,0,0,3,0,0,15,0,0,"Yves_Bissouma_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
41,2022_2023,Tottenham Hotspur,Clément Lenglet,fr FRA,DF,27,2,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8.1,0,0,0,0,0,0,0,10,5,3,2,0,55,61,1135,435,2,2,0,0,0,0,0,0,0,0,0,0,0,0,73,48,3,1,48,255,163,3,0,0,0,0,0,1,0,3,2,3,"Clément_Lenglet_['T_o_t_t_e_n_h_a_m_', '_H_o_t_s_p_u_r']"
